"ID","DISTRICT ID","FULL DISTRICT NAME","COUNTY NAME","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","PHONE","TOTAL NUMBER OF STUDENTS","TEACHERS - TOTAL","TOTAL CURRENT EXPENDITURES - INSTRUCTION","NUMBER OF SCHOOLS","INSTRUCTIONAL EXPENDITURES PER STUDENT","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","ENGLISH LANGUAGE LEARNER STUDENTS","SOURCE","SORT","DATA SOURCE IMPORT DATE","DISTRICT NAME","NCES SCHOOL ID","FULL SCHOOL NAME","SCHOOL NAME","CONVERTED","DATA_SOURCE__C","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","NCES_DISTRICT_ID__C","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","TEMPORARY DISTRICT NAME","STATUS"
"001VA000004BeXrYAK","1200090","Bay District Schools","Bay County","1311 Balboa Ave","Panama City","FL","32401","(850) 767-4101","28076","1431","141436000","53","5037","PK","12","116","569","2254","4221","18996","62","1858","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200090","1311 Balboa Ave","Panama City","FL","32401","Bay District Schools (FL - Bay County)","Item Created"
"001VA000004BeXsYAK","1200390","Miami-Dade County Public Schools","Miami-Dade County","1450 Ne 2Nd Ave # 912","Miami","FL","33132","(305) 995-1000","354840","17365","2099670000","535","5917","PK","12","173","3940","251572","72670","24327","121","2037","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200390","1450 Ne 2Nd Ave # 912","Miami","FL","33132","Miami-Dade County Public Schools (FL - Miami-Dade County)","Item Created"
"001VA000004BeXtYAK","1800126","Charter Schools Usa","Broward County","6245 N Federal Hwy-5Th Floor","Fort Lauderdale","FL","33308","(954) 202-3500","488","34","4130000","1","8463","7","12","2","0","56","255","149","2","24","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1800126","6245 N Federal Hwy-5Th Floor","Fort Lauderdale","FL","33308","Charter Schools Usa (FL - Broward County)","Item Created"
"001VA000004BeXuYAK","1202012","Florida Atlantic University/Labaratory School","Palm Beach County","777 Glades Rd Bldg 47","Boca Raton","FL","33431","(561) 297-3357","2555","132","592000","2","231","K","12","8","155","761","426","1065","6","134","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1202012","777 Glades Rd Bldg 47","Boca Raton","FL","33431","Florida Atlantic University/Labaratory School (FL - Palm Beach County)","Item Created"
"001VA000004BeXvYAK","1200690","Gulf District Schools","Gulf County","150 Middle School Rd","Port St Joe","FL","32456","(850) 229-8256","1977","109","9519000","7","4814","PK","12","5","8","85","256","1540","1","82","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200690","150 Middle School Rd","Port St Joe","FL","32456","Gulf District Schools (FL - Gulf County)","Item Created"
"001VA000004BeXwYAK","1201770","St. Lucie Public Schools","St. Lucie County","9461 Brandywine Lane","Port St. Lucie","FL","34947","(772)429-3600","40848","2300","195335000","50","4782","PK","12","119","707","12282","12571","13514","65","1590","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201770","9461 Brandywine Lane","Port St. Lucie","FL","34947","St. Lucie Public Schools (FL - St. Lucie County)","Item Created"
"001VA000004BeXxYAK","1200720","School District Of Hamilton County","Hamilton County","5683 Us Highway 129 S Ste 1","Jasper","FL","32052","(386) 792-7800","1651","79","7952000","10","4816","PK","12","6","6","314","618","644","0","63","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200720","5683 Us Highway 129 S Ste 1","Jasper","FL","32052","School District Of Hamilton County (FL - Hamilton County)","Item Created"
"001VA000004BeXyYAK","1201260","Marion County Public Schools","Marion County","512 Se 3Rd St","Ocala","FL","34471","(352) 671-7702","43119","2260","202204000","68","4689","PK","12","190","724","9742","8717","21467","99","2180","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201260","512 Se 3Rd St","Ocala","FL","34471","Marion County Public Schools (FL - Marion County)","Item Created"
"001VA000004BeXzYAK","1201470","The School District Of Osceola County, Florida","Osceola County","817 Bill Beck Boulevard","Kissimmee","FL","34744","(407) 870-4600","65982","3600","287716000","78","4360","PK","12","197","1443","39897","7197","15511","167","1570","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201470","817 Bill Beck Boulevard","Kissimmee","FL","34744","The School District Of Osceola County, Florida (FL - Osceola County)","Item Created"
"001VA000004BeY0YAK","1200930","School District Of Indian River County","Indian River County","6500 57th Street","Vero Beach","FL","32967","(772) 564-3000","17792","1036","93530000","29","5256","PK","12","44","251","4090","3007","9689","14","697","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200930","6500 57th Street","Vero Beach","FL","32967","School District Of Indian River County (FL - Indian River County)","Item Created"
"001VA000004BeY1YAK","1200870","Hillsborough County Public Schools","Hillsborough County","901 East Kennedy Boulevard","Tampa","FL","33602","(813) 272-4000","217072","13001","1077314000","315","4962","PK","12","463","8610","79475","45889","72623","400","9612","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200870","901 East Kennedy Boulevard","Tampa","FL","33602","Hillsborough County Public Schools (FL - Hillsborough County)","Item Created"
"001VA000004BeY2YAK","1201860","Taylor County School District","Taylor County","318 N Clark St","Perry","FL","32347","(850) 838-2500","2846","146","14406000","10","5061","PK","12","14","41","92","709","1826","0","164","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201860","318 N Clark St","Perry","FL","32347","Taylor County School District (FL - Taylor County)","Item Created"
"001VA000004BeY3YAK","1201680","Sarasota County Schools","Sarasota County","1960 Landings Blvd","Sarasota","FL","34231","(941) 927-9000","42901","2853","277821000","60","6475","PK","12","94","1099","8635","3626","27076","40","2331","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201680","1960 Landings Blvd","Sarasota","FL","34231","Sarasota County Schools (FL - Sarasota County)","Item Created"
"001VA000004BeY4YAK","1200030","Alachua County Public Schools District","Alachua County","620 East University Avenue","Gainesville","FL","32601","(352) 955-7300","29764","1585","138860000","70","4665","PK","12","63","1485","2992","10376","12888","39","1921","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200030","620 East University Avenue","Gainesville","FL","32601","Alachua County Public Schools District (FL - Alachua County)","Item Created"
"001VA000004BeY5YAK","1201650","Santa Rosa County District Schools","Santa Rosa County","5086 Canal St","Milton","FL","32570","(850) 983-5000","27995","1695","120396000","39","4300","PK","12","132","401","1998","1424","21753","70","2217","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201650","5086 Canal St","Milton","FL","32570","Santa Rosa County District Schools (FL - Santa Rosa County)","Item Created"
"001VA000004BeY6YAK","1200660","Glades County School District","Glades County","400 10Th St Sw","Moore Haven","FL","33471","(863) 946-2083","1675","108","8729000","10","5211","PK","12","246","9","615","167","589","0","49","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200660","400 10Th St Sw","Moore Haven","FL","33471","Glades County School District (FL - Glades County)","Item Created"
"001VA000004BeY7YAK","1200420","School District Of Desoto County","Desoto County","530 Lasolona Ave","Arcadia","FL","34266","(863) 494-4222","4838","249","24450000","13","5053","PK","12","12","20","2213","565","1900","4","124","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200420","530 Lasolona Ave","Arcadia","FL","34266","School District Of Desoto County (FL - Desoto County)","Item Created"
"001VA000004BeY8YAK","1202010","Washington County School District","Washington County","652 3Rd St","Chipley","FL","32428","(850) 638-6222","3357","194","18305000","10","5452","PK","12","13","18","107","599","2417","9","194","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1202010","652 3Rd St","Chipley","FL","32428","Washington County School District (FL - Washington County)","Item Created"
"001VA000004BeY9YAK","1200900","Holmes District Schools","Holmes County","701 E Pennsylvania Ave","Bonifay","FL","32425","(850) 547-9341","3276","205","17442000","11","5324","PK","12","7","12","107","126","2923","2","99","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200900","701 E Pennsylvania Ave","Bonifay","FL","32425","Holmes District Schools (FL - Holmes County)","Item Created"
"001VA000004BeYAYA0","1200360","Columbia County School District","Columbia County","372 W Duval St","Lake City","FL","32055","(386) 755-8000","10187","557","47469000","23","4659","PK","12","15","99","685","2279","6517","6","586","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200360","372 W Duval St","Lake City","FL","32055","Columbia County School District (FL - Columbia County)","Item Created"
"001VA000004BeYBYA0","1201920","Volusia County Schools","Volusia County","200 N Clara Ave","Deland","FL","32720","(386) 734-7190","62963","3782","302422000","93","4803","PK","12","156","1241","12411","10101","36299","118","2637","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201920","200 N Clara Ave","Deland","FL","32720","Volusia County Schools (FL - Volusia County)","Item Created"
"001VA000004BeYCYA0","1201380","Okaloosa County School District","Okaloosa County","120 Lowery Pl Se","Fort Walton Beach","FL","32548","(850) 833-3100","31683","1868","168283000","51","5311","PK","12","116","592","3189","3786","21221","115","2664","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201380","120 Lowery Pl Se","Fort Walton Beach","FL","32548","Okaloosa County School District (FL - Okaloosa County)","Item Created"
"001VA000004BeYDYA0","1201140","Levy County School District","Levy County","480 Marshburn Dr","Bronson","FL","32621","(352) 486-5231","5576","285","27599000","16","4949","PK","12","22","24","674","677","3936","6","237","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201140","480 Marshburn Dr","Bronson","FL","32621","Levy County School District (FL - Levy County)","Item Created"
"001VA000004BeYEYA0","1201080","The School District Of Lee County","Lee County","2855 Colonial Blvd","Fort Myers","FL","33966","(239) 334-1102","93221","5170","463801000","125","4975","PK","12","164","1584","38236","13294","37243","87","2613","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201080","2855 Colonial Blvd","Fort Myers","FL","33966","The School District Of Lee County (FL - Lee County)","Item Created"
"001VA000004BeYFYA0","1200210","Calhoun County School District","Calhoun County","20859 E Central Ave Rm G20","Blountstown","FL","32424","(850) 674-5927","2237","127","11539000","10","5158","PK","12","8","8","148","239","1719","1","114","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200210","20859 E Central Ave Rm G20","Blountstown","FL","32424","Calhoun County School District (FL - Calhoun County)","Item Created"
"001VA000004BeYGYA0","1200300","Clay County District Schools","Clay County","900 Walnut St","Green Cove Springs","FL","32043","(904) 284-6500","37521","2578","181796000","52","4845","PK","12","82","916","4424","5658","24415","134","1892","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200300","900 Walnut St","Green Cove Springs","FL","32043","Clay County District Schools (FL - Clay County)","Item Created"
"001VA000004BeYHYA0","1201350","Nassau County School District","Nassau County","1201 Atlantic Ave","Fernandina Beach","FL","32034","(904) 491-9901","11876","738","53208000","22","4480","PK","12","22","92","672","819","9693","8","570","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201350","1201 Atlantic Ave","Fernandina Beach","FL","32034","Nassau County School District (FL - Nassau County)","Item Created"
"001VA000004BeYIYA0","1201410","Okeechobee County School District","Okeechobee County","700 Sw 2Nd Ave","Okeechobee","FL","34974","(863) 462-5000","6410","350","32008000","15","4993","PK","12","57","52","2626","540","2917","4","214","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201410","700 Sw 2Nd Ave","Okeechobee","FL","34974","Okeechobee County School District (FL - Okeechobee County)","Item Created"
"001VA000004BeYJYA0","1201590","Polk County Public Schools","Polk County","1915 South Floral Avenue","Bartow","FL","33831","(863) 534-0500","99892","5927","539905000","164","5404","PK","12","371","1603","34598","20651","39678","152","2839","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201590","1915 South Floral Avenue","Bartow","FL","33831","Polk County Public Schools (FL - Polk County)","Item Created"
"001VA000004BeYKYA0","1201050","Lake County Schools","Lake County","201 W Burleigh Blvd","Tavares","FL","32778","(352) 253-6500","43174","2679","197176000","61","4567","PK","12","280","1072","11078","6509","22184","68","1983","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201050","201 W Burleigh Blvd","Tavares","FL","32778","Lake County Schools (FL - Lake County)","Item Created"
"001VA000004BeYLYA0","1201710","Seminole County Public Schools","Seminole County","400 E Lake Mary Blvd","Sanford","FL","32773","(407) 320-0000","67915","3543","330653000","77","4868","PK","12","105","3418","17710","10035","34009","199","2439","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201710","400 E Lake Mary Blvd","Sanford","FL","32773","Seminole County Public Schools (FL - Seminole County)","Item Created"
"001VA000004BeYMYA0","1200060","Baker County School District","Baker County","270 South Blvd E","Macclenny","FL","32063","(904) 259-0401","5044","284","22759000","9","4512","PK","12","11","46","98","619","4125","3","142","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200060","270 South Blvd E","Macclenny","FL","32063","Baker County School District (FL - Baker County)","Item Created"
"001VA000004BeYNYA0","1201200","Madison County School District","Madison County","210 Ne Duval Ave","Madison","FL","32340","(850) 973-5022","2785","128","12762000","15","4582","PK","12","9","6","171","1304","1231","4","60","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201200","210 Ne Duval Ave","Madison","FL","32340","Madison County School District (FL - Madison County)","Item Created"
"001VA000004BeYOYA0","1200570","Franklin County School District","Franklin County","85 School Rd Ste 1","Eastpoint","FL","32328","(850) 670-2810","1305","79","8153000","4","6247","PK","12","1","4","93","133","990","0","84","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200570","85 School Rd Ste 1","Eastpoint","FL","32328","Franklin County School District (FL - Franklin County)","Item Created"
"001VA000004BeYPYA0","1202013","Florida State University Schools","Leon County","3000 School House Rd","Tallahassee","FL","32311","(850) 245-3700","2405","151","592000","3","246","K","12","3","112","562","629","981","6","112","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1202013","3000 School House Rd","Tallahassee","FL","32311","Florida State University Schools (FL - Leon County)","Item Created"
"001VA000004BeYQYA0","1202016","Florida School For The Deaf And The Blind","St. Johns County","207 N San Marco Ave","St Augustine","FL","32084","(904) 827-2210","545","83","592000","7","1086","PK","12","1","24","138","106","255","3","18","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1202016","207 N San Marco Ave","St Augustine","FL","32084","Florida School For The Deaf And The Blind (FL - St. Johns County)","Item Created"
"001VA000004BeYRYA0","1200960","Jackson County School District","Jackson County","2903 Jefferson St","Marianna","FL","32446","(850) 482-1200","6648","406","34396000","23","5173","PK","12","32","25","325","2071","3775","3","417","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200960","2903 Jefferson St","Marianna","FL","32446","Jackson County School District (FL - Jackson County)","Item Created"
"001VA000004BeYSYA0","1200150","Brevard Public Schools","Brevard County","2700 Judge Fran Jamieson Way","Viera","FL","32940","(321) 633-1000","73524","4433","352403000","124","4793","PK","12","156","1613","10578","10868","44657","118","5534","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200150","2700 Judge Fran Jamieson Way","Viera","FL","32940","Brevard Public Schools (FL - Brevard County)","Item Created"
"001VA000004BeYTYA0","1200240","Charlotte County Public Schools","Charlotte County","1445 Education Way","Port Charlotte","FL","33948","(941) 255-0808","15901","918","83220000","24","5233","PK","12","53","256","2440","1440","10916","29","767","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200240","1445 Education Way","Port Charlotte","FL","33948","Charlotte County Public Schools (FL - Charlotte County)","Item Created"
"001VA000004BeYUYA0","1200630","Gilchrist County School District","Gilchrist County","310 Nw 11Th Ave","Trenton","FL","32693","(352) 463-3200","2673","206","14115000","7","5280","PK","12","1","9","255","106","2195","0","107","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200630","310 Nw 11Th Ave","Trenton","FL","32693","Gilchrist County School District (FL - Gilchrist County)","Item Created"
"001VA000004BeYVYA0","1200780","Hendry County School District","Hendry County","25 E Hickpochee Ave","Labelle","FL","33935","(863) 674-4642","7336","357","36507000","17","4976","PK","12","40","44","4741","1021","1438","1","51","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200780","25 E Hickpochee Ave","Labelle","FL","33935","Hendry County School District (FL - Hendry County)","Item Created"
"001VA000004BeYWYA0","1200600","Gadsden County School District","Gadsden County","35 Martin Luther King Jr Blvd","Quincy","FL","32351","(850) 627-9651","5317","294","27307000","24","5135","PK","12","49","4","1115","3889","186","15","59","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200600","35 Martin Luther King Jr Blvd","Quincy","FL","32351","Gadsden County School District (FL - Gadsden County)","Item Created"
"001VA000004BeYXYA0","1201740","St. Johns County School District","St. Johns County","40 Orange St","St Augustine","FL","32084","(904) 547-7502","40189","2600","165554000","51","4119","PK","12","52","1768","3628","2683","30811","106","1141","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201740","40 Orange St","St Augustine","FL","32084","St. Johns County School District (FL - St. Johns County)","Item Created"
"001VA000004BeYYYA0","1201830","Suwannee County School District","Suwannee County","702 2Nd St Nw","Live Oak","FL","32064","(386) 647-4600","6127","302","30126000","13","4916","PK","12","7","31","1119","930","3790","1","249","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201830","702 2Nd St Nw","Live Oak","FL","32064","Suwannee County School District (FL - Suwannee County)","Item Created"
"001VA000004BeYZYA0","1200510","Escambia County School District","Escambia County","75 N Pace Blvd","Pensacola","FL","32505","(850) 469-6130","40292","2468","195231000","73","4845","PK","12","275","1000","2743","14054","19215","118","2887","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200510","75 N Pace Blvd","Pensacola","FL","32505","Escambia County School District (FL - Escambia County)","Item Created"
"001VA000004BeYaYAK","1200080","Lake Wales Charter Schools","Polk County","151 Central Avenue East","Lake Wales","FL","33853","(863) 679-6560","4873","268","36547500","5","7500","PK","12","11","49","1193","841","2006","4","140","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200080","151 Central Avenue East","Lake Wales","FL","33853","Lake Wales Charter Schools (FL - Polk County)","Item Created"
"001VA000004BeYbYAK","1200810","Hernando School District","Hernando County","919 N Broad St","Brooksville","FL","34601","(352) 797-7000","22445","1429","108651000","38","4840","PK","12","67","379","4482","1720","14684","25","1088","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200810","919 N Broad St","Brooksville","FL","34601","Hernando School District (FL - Hernando County)","Item Created"
"001VA000004BeYcYAK","1201230","School District Of Manatee County","Manatee County","215 Manatee Ave W","Bradenton","FL","34205","(941) 708-8770","48952","2928","225671000","81","4610","PK","12","64","984","16489","6747","22760","51","1857","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201230","215 Manatee Ave W","Bradenton","FL","34205","School District Of Manatee County (FL - Manatee County)","Item Created"
"001VA000004BeYdYAK","1201320","Monroe County School District","Monroe County","241 Trumbo Rd","Key West","FL","33040","(305) 293-1400","8500","601","57777000","25","6797","PK","12","6","132","3307","902","3874","9","270","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201320","241 Trumbo Rd","Key West","FL","33040","Monroe County School District (FL - Monroe County)","Item Created"
