"ID","INDEX","SCHOOL ID","NCES SCHOOL ID","SCHOOL NAME","DISTRICT NAME","FULL SCHOOL NAME","DISTRICT ID","PHONE","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","WHETHER A CHARTER SCHOOL","TOTAL STUDENTS, ALL GRADES (INCLUDES AE)","COUNTY NAME","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","CLASSROOM TEACHERS","TITLE I ELIGIBLE SCHOOL","SOURCE","SORT","DATA SOURCE IMPORT DATE","ACCOUNT NAME","DATA SOURCE","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","STREET","CITY","STATE","POSTALCODE","DATA SOURCE ID","TEMPORARY NAME","STATUS"
"001VA000004IaSmYAK","1217","736","1.20048E+11","","Duval County Public Schools","Oak Hill Elementary School","1200480","(904) 573-1030","6910 Daughtry Blvd S","Jacksonville","FL","32210","PK","5","No","511","Duval County","1","14","73","317","73","2","31","40","TRUE","Public File","3","04.20.2023","Oak Hill Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6910 Daughtry Blvd S","Jacksonville","FL","32210","736","Oak Hill Elementary School","Item Created"
"001VA000004IaSnYAK","1216","735","1.20048E+11","","Duval County Public Schools","Holiday Hill Elementary School","1200480","(904)720-1676","6900 Altama Rd","Jacksonville","FL","32216","PK","5","No","611","Duval County","4","17","75","133","343","0","39","52","TRUE","Public File","3","04.20.2023","Holiday Hill Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6900 Altama Rd","Jacksonville","FL","32216","735","Holiday Hill Elementary School","Item Created"
"001VA000004IaSoYAK","1227","747","1.20048E+11","","Duval County Public Schools","Greenfield Elementary School","1200480","(904)739-5249","6343 Knights Ln N","Jacksonville","FL","32216","PK","5","No","525","Duval County","2","41","118","144","199","0","21","38","TRUE","Public File","3","04.20.2023","Greenfield Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6343 Knights Ln N","Jacksonville","FL","32216","747","Greenfield Elementary School","Item Created"
"001VA000004IaSpYAK","1215","734","1.20048E+11","","Duval County Public Schools","Parkwood Heights Elementary School","1200480","(904)720-1670","1709 Lansdowne Dr","Jacksonville","FL","32211","K","5","No","419","Duval County","1","13","27","253","115","0","10","30","TRUE","Public File","3","04.20.2023","Parkwood Heights Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1709 Lansdowne Dr","Jacksonville","FL","32211","734","Parkwood Heights Elementary School","Item Created"
"001VA000004IaSqYAK","1213","732","1.20048E+11","","Duval County Public Schools","Brookview Elementary School","1200480","(904)565-2720","10450 Theresa Dr","Jacksonville","FL","32246","K","5","No","735","Duval County","2","57","122","212","285","1","56","45","TRUE","Public File","3","04.20.2023","Brookview Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","10450 Theresa Dr","Jacksonville","FL","32246","732","Brookview Elementary School","Item Created"
"001VA000004IaSrYAK","1212","731","1.20048E+11","","Duval County Public Schools","Pickett Elementary School","1200480","(904)693-7555","6305 Old Kings Rd","Jacksonville","FL","32254","PK","5","No","216","Duval County","2","3","4","84","116","0","7","20","TRUE","Public File","3","04.20.2023","Pickett Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6305 Old Kings Rd","Jacksonville","FL","32254","731","Pickett Elementary School","Item Created"
"001VA000004IaSsYAK","1211","729","1.20048E+11","","Duval County Public Schools","Kings Trail Elementary School","1200480","(904)739-5254","7401 Old Kings Rd S","Jacksonville","FL","32217","PK","5","No","434","Duval County","1","41","121","175","73","0","23","31","TRUE","Public File","3","04.20.2023","Kings Trail Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7401 Old Kings Rd S","Jacksonville","FL","32217","729","Kings Trail Elementary School","Item Created"
"001VA000004IaStYAK","1210","721","1.20048E+11","","Duval County Public Schools","Youth Development Center","1200480","(904)696-8771","1840 West 9Th Street","Jacksonville","FL","32209","K","12","No","47","Duval County","0","0","4","35","7","0","1","4","FALSE","Public File","3","04.20.2023","Youth Development Center - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1840 West 9Th Street","Jacksonville","FL","32209","721","Youth Development Center","Item Created"
"001VA000004IaSuYAK","1209","720","1.20048E+11","","Duval County Public Schools","Hospital And Homebound","1200480","(904)381-3840","4037 BLVD CTR DR","JACKSONVILLE","FL","32207","K","12","No","113","Duval County","0","3","8","39","55","0","8","11","FALSE","Public File","3","04.20.2023","Hospital And Homebound - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","4037 BLVD CTR DR","JACKSONVILLE","FL","32207","720","Hospital And Homebound","Item Created"
"001VA000004IaSvYAK","1220","739","1.20048E+11","","Duval County Public Schools","Arlington Middle School","1200480","(904)720-1680","8141 Lone Star Rd","Jacksonville","FL","32211","6","8","No","821","Duval County","1","13","108","467","193","1","38","49","TRUE","Public File","3","04.20.2023","Arlington Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","8141 Lone Star Rd","Jacksonville","FL","32211","739","Arlington Middle School","Item Created"
"001VA000004IaSwYAK","1208","718","1.20048E+11","","Duval County Public Schools","Palm Avenue Exceptional Student Center","1200480","(904)693-7516","1301 W Palm Ave","Jacksonville","FL","32254","6","12","No","143","Duval County","0","3","8","82","47","0","3","19","TRUE","Public File","3","04.20.2023","Palm Avenue Exceptional Student Center - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1301 W Palm Ave","Jacksonville","FL","32254","718","Palm Avenue Exceptional Student Center","Item Created"
"001VA000004IaSxYAK","1207","717","1.20048E+11","","Duval County Public Schools","S. A. Hull Elementary School","1200480","(904)924-3136","7528 Hull St","Jacksonville","FL","32219","PK","5","No","270","Duval County","2","0","9","229","24","0","6","20","TRUE","Public File","3","04.20.2023","S. A. Hull Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7528 Hull St","Jacksonville","FL","32219","717","S. A. Hull Elementary School","Item Created"
"001VA000004IaSyYAK","1206","715","1.20048E+11","","Duval County Public Schools","","1200480","(904)924-3004","2334 Butler Ave","Jacksonville","FL","32209","PK","5","No","500","Duval County","1","0","3","474","9","0","13","34","TRUE","Public File","3","04.20.2023","Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2334 Butler Ave","Jacksonville","FL","32209","715","","Item Created"
"001VA000004IaSzYAK","1205","714","1.20048E+11","","Duval County Public Schools","William M. Raines High School","1200480","(904)924-3049","3663 Raines Ave","Jacksonville","FL","32209","9","12","No","1018","Duval County","0","2","7","981","8","0","20","50","TRUE","Public File","3","04.20.2023","William M. Raines High School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","3663 Raines Ave","Jacksonville","FL","32209","714","William M. Raines High School","Item Created"
"001VA000004IaT0YAK","1204","713","1.20048E+11","","Duval County Public Schools","Rufus E. Payne Elementary School","1200480","(904)924-3020","6725 Hema Rd","Jacksonville","FL","32209","PK","5","No","295","Duval County","0","0","3","280","0","0","12","21","TRUE","Public File","3","04.20.2023","Rufus E. Payne Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6725 Hema Rd","Jacksonville","FL","32209","713","Rufus E. Payne Elementary School","Item Created"
"001VA000004IaT1YAK","1214","733","1.20048E+11","","Duval County Public Schools","Westside Middle School","1200480","(904)573-1000","4815 Wesconnett Blvd","Jacksonville","FL","32210","6","8","No","598","Duval County","0","14","63","366","131","4","20","36","TRUE","Public File","3","04.20.2023","Westside Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","4815 Wesconnett Blvd","Jacksonville","FL","32210","733","Westside Middle School","Item Created"
"001VA000004IaT2YAK","1228","748","1.20048E+11","","Duval County Public Schools","Duncan U. Fletcher High School","1200480","(904)247-5905","700 Seagate Ave","Neptune Beach","FL","32266","9","12","No","2162","Duval County","6","37","161","304","1542","6","106","99","FALSE","Public File","3","04.20.2023","Duncan U. Fletcher High School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","700 Seagate Ave","Neptune Beach","FL","32266","748","Duncan U. Fletcher High School","Item Created"
"001VA000004IaT3YAK","1229","749","1.20048E+11","","Duval County Public Schools","Samuel W. Wolfson School","1200480","(904)739-5265","7000 Powers Ave","Jacksonville","FL","32217","9","12","No","1119","Duval County","2","62","165","635","222","1","32","59","TRUE","Public File","3","04.20.2023","Samuel W. Wolfson School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7000 Powers Ave","Jacksonville","FL","32217","749","Samuel W. Wolfson School","Item Created"
"001VA000004IaT4YAK","1230","750","1.20048E+11","","Duval County Public Schools","Seabreeze Elementary School","1200480","(904)247-5900","1400 Seabreeze Ave","Jacksonville Beach","FL","32250","PK","5","No","611","Duval County","3","17","34","99","420","4","34","37","TRUE","Public File","3","04.20.2023","Seabreeze Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1400 Seabreeze Ave","Jacksonville Beach","FL","32250","750","Seabreeze Elementary School","Item Created"
"001VA000004IaT5YAK","1255","2163","1.20048E+11","","Duval County Public Schools","Neptune Beach Elementary School","1200480","(904)247-5954","1515 Florida Blvd","Neptune Beach","FL","32266","PK","5","No","877","Duval County","1","18","108","107","587","3","53","68","TRUE","Public File","3","04.20.2023","Neptune Beach Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1515 Florida Blvd","Neptune Beach","FL","32266","2163","Neptune Beach Elementary School","Item Created"
"001VA000004IaT6YAK","1254","2161","1.20048E+11","","Duval County Public Schools","Teen Parent Service Center","1200480","(904)924-3011","129 King St","Jacksonville","FL","32204","PK","PK","No","158","Duval County","0","0","12","129","15","0","2","2","FALSE","Public File","3","04.20.2023","Teen Parent Service Center - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","129 King St","Jacksonville","FL","32204","2161","Teen Parent Service Center","Item Created"
"001VA000004IaT7YAK","1253","2159","1.20048E+11","","Duval County Public Schools","Crown Point Elementary School","1200480","(904)260-5808","3800 Crown Point Rd","Jacksonville","FL","32257","PK","5","No","963","Duval County","5","26","215","212","441","0","64","60","TRUE","Public File","3","04.20.2023","Crown Point Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","3800 Crown Point Rd","Jacksonville","FL","32257","2159","Crown Point Elementary School","Item Created"
"001VA000004IaT8YAK","1252","773","1.20048E+11","","Duval County Public Schools","A. Philip Randolph Academies","1200480","(904)924-3011","1157 Golfair Blvd","Jacksonville","FL","32209","8","12","No","420","Duval County","0","2","14","368","30","0","6","23","TRUE","Public File","3","04.20.2023","A. Philip Randolph Academies - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1157 Golfair Blvd","Jacksonville","FL","32209","773","A. Philip Randolph Academies","Item Created"
"001VA000004IaT9YAK","1251","772","1.20048E+11","","Duval County Public Schools","Frank H. Peterson Academies","1200480","(904)573-1150","7450 Wilson Blvd","Jacksonville","FL","32210","9","12","No","1193","Duval County","7","32","163","512","419","1","59","57","TRUE","Public File","3","04.20.2023","Frank H. Peterson Academies - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7450 Wilson Blvd","Jacksonville","FL","32210","772","Frank H. Peterson Academies","Item Created"
"001VA000004IaTAYA0","1250","770","1.20048E+11","","Duval County Public Schools","Mayport Middle School","1200480","(904)247-5977","2600 Mayport Rd","Atlantic Beach","FL","32233","6","8","No","812","Duval County","5","20","94","181","452","6","54","42","TRUE","Public File","3","04.20.2023","Mayport Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2600 Mayport Rd","Atlantic Beach","FL","32233","770","Mayport Middle School","Item Created"
"001VA000004IaTBYA0","1261","2742","1.20048E+11","","Duval County Public Schools","Alimacani Elementary School","1200480","(904)221-7101","2051 San Pablo Rd S","Jacksonville","FL","32224","PK","5","No","882","Duval County","3","41","116","91","563","6","62","55","FALSE","Public File","3","04.20.2023","Alimacani Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2051 San Pablo Rd S","Jacksonville","FL","32224","2742","Alimacani Elementary School","Item Created"
"001VA000004IaTCYA0","1249","769","1.20048E+11","","Duval County Public Schools","Alden Road Excep. Student Center","1200480","(904)565-2722","11780 Alden Rd","Jacksonville","FL","32246","6","12","No","186","Duval County","2","12","18","66","84","0","4","28","TRUE","Public File","3","04.20.2023","Alden Road Excep. Student Center - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","11780 Alden Rd","Jacksonville","FL","32246","769","Alden Road Excep. Student Center","Item Created"
"001VA000004IaTDYA0","1247","767","1.20048E+11","","Duval County Public Schools","Edward H. White High School","1200480","(904)693-7620","1700 Old Middleburg Rd N","Jacksonville","FL","32210","9","12","No","1702","Duval County","6","45","111","1051","425","3","61","87","TRUE","Public File","3","04.20.2023","Edward H. White High School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1700 Old Middleburg Rd N","Jacksonville","FL","32210","767","Edward H. White High School","Item Created"
"001VA000004IaTEYA0","1246","766","1.20048E+11","","Duval County Public Schools","Anchor Academy","1200480","(904)247-5996","555 Wonderwood Dr","Atlantic Beach","FL","32233","PK","5","No","427","Duval County","2","6","60","85","232","0","42","27","TRUE","Public File","3","04.20.2023","Anchor Academy - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","555 Wonderwood Dr","Atlantic Beach","FL","32233","766","Anchor Academy","Item Created"
"001VA000004IaTFYA0","1245","765","1.20048E+11","","Duval County Public Schools","Highlands Middle School","1200480","(904)696-8771","10913 Pine Estates Rd E","Jacksonville","FL","32218","6","8","No","802","Duval County","0","2","37","669","79","2","13","46","TRUE","Public File","3","04.20.2023","Highlands Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","10913 Pine Estates Rd E","Jacksonville","FL","32218","765","Highlands Middle School","Item Created"
"001VA000004IaTGYA0","1244","764","1.20048E+11","","Duval County Public Schools","Gregory Drive Elementary School","1200480","(904)573-1190","7800 Gregory Dr","Jacksonville","FL","32210","K","5","No","747","Duval County","0","25","75","458","144","4","41","45","TRUE","Public File","3","04.20.2023","Gregory Drive Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7800 Gregory Dr","Jacksonville","FL","32210","764","Gregory Drive Elementary School","Item Created"
"001VA000004IaTHYA0","1243","763","1.20048E+11","","Duval County Public Schools","Louis S. Sheffield Elementary School","1200480","(904)696-8758","13333 Lanier Rd","Jacksonville","FL","32226","K","5","No","834","Duval County","2","21","73","190","502","4","42","52","TRUE","Public File","3","04.20.2023","Louis S. Sheffield Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","13333 Lanier Rd","Jacksonville","FL","32226","763","Louis S. Sheffield Elementary School","Item Created"
"001VA000004IaTIYA0","1242","762","1.20048E+11","","Duval County Public Schools","Westside High School","1200480","(904)573-1170","5530 Firestone Rd","Jacksonville","FL","32244","9","12","No","1518","Duval County","11","35","161","961","298","4","48","75","TRUE","Public File","3","04.20.2023","Westside High School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","5530 Firestone Rd","Jacksonville","FL","32244","762","Westside High School","Item Created"
"001VA000004IaTJYA0","1241","761","1.20048E+11","","Duval County Public Schools","Arlington Heights Elementary School","1200480","(904)745-4923","1520 Sprinkle Dr","Jacksonville","FL","32211","PK","5","No","426","Duval County","1","11","73","235","91","0","15","28","TRUE","Public File","3","04.20.2023","Arlington Heights Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","1520 Sprinkle Dr","Jacksonville","FL","32211","761","Arlington Heights Elementary School","Item Created"
"001VA000004IaTKYA0","1240","760","1.20048E+11","","Duval County Public Schools","Fort Caroline Middle School","1200480","(904)745-4927","3787 University Club Blvd","Jacksonville","FL","32277","6","8","No","461","Duval County","0","11","51","321","59","0","19","26","TRUE","Public File","3","04.20.2023","Fort Caroline Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","3787 University Club Blvd","Jacksonville","FL","32277","760","Fort Caroline Middle School","Item Created"
"001VA000004IaTLYA0","1239","759","1.20048E+11","","Duval County Public Schools","Sandalwood High School","1200480","(904)646-5100","2750 John Prom Blvd","Jacksonville","FL","32246","9","12","No","2807","Duval County","3","242","422","777","1212","8","143","132","TRUE","Public File","3","04.20.2023","Sandalwood High School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2750 John Prom Blvd","Jacksonville","FL","32246","759","Sandalwood High School","Item Created"
"001VA000004IaTMYA0","1238","758","1.20048E+11","","Duval County Public Schools","Mamie Agnes Jones Elementary School","1200480","(904)266-1214","700 Orange Ave","Baldwin","FL","32234","PK","5","No","451","Duval County","1","1","28","91","301","1","28","28","TRUE","Public File","3","04.20.2023","Mamie Agnes Jones Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","700 Orange Ave","Baldwin","FL","32234","758","Mamie Agnes Jones Elementary School","Item Created"
"001VA000004IaTNYA0","1237","757","1.20048E+11","","Duval County Public Schools","Fort Caroline Elementary School","1200480","(904)745-4904","3925 Athore Dr","Jacksonville","FL","32277","PK","5","No","691","Duval County","2","6","55","530","76","0","22","44","TRUE","Public File","3","04.20.2023","Fort Caroline Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","3925 Athore Dr","Jacksonville","FL","32277","757","Fort Caroline Elementary School","Item Created"
"001VA000004IaTOYA0","1248","768","1.20048E+11","","Duval County Public Schools","Pine Estates Elementary School","1200480","(904)696-8767","10741 Pine Estates Rd E","Jacksonville","FL","32218","PK","5","No","273","Duval County","1","1","17","217","28","0","9","19","TRUE","Public File","3","04.20.2023","Pine Estates Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","10741 Pine Estates Rd E","Jacksonville","FL","32218","768","Pine Estates Elementary School","Item Created"
"001VA000004IaTPYA0","1236","756","1.20048E+11","","Duval County Public Schools","Hidden Oaks Elementary School","1200480","(904)573-1020","6127 Cedar Hills Blvd","Jacksonville","FL","32210","K","5","No","297","Duval County","2","2","16","206","61","0","10","22","TRUE","Public File","3","04.20.2023","Hidden Oaks Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","6127 Cedar Hills Blvd","Jacksonville","FL","32210","756","Hidden Oaks Elementary School","Item Created"
"001VA000004IaTQYA0","1235","755","1.20048E+11","","Duval County Public Schools","Lone Star Elementary School","1200480","(904)565-2711","10400 Lone Star Rd","Jacksonville","FL","32225","PK","5","No","576","Duval County","0","35","69","177","241","6","48","35","TRUE","Public File","3","04.20.2023","Lone Star Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","10400 Lone Star Rd","Jacksonville","FL","32225","755","Lone Star Elementary School","Item Created"
"001VA000004IaTRYA0","1234","754","1.20048E+11","","Duval County Public Schools","Beauclerc Elementary School","1200480","(904)739-5226","4555 Craven Rd W","Jacksonville","FL","32257","K","5","No","954","Duval County","1","29","200","330","333","1","60","62","TRUE","Public File","3","04.20.2023","Beauclerc Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","4555 Craven Rd W","Jacksonville","FL","32257","754","Beauclerc Elementary School","Item Created"
"001VA000004IaTSYA0","1232","752","1.20048E+11","","Duval County Public Schools","Merrill Road Elementary School","1200480","(904)745-4919","8239 Merrill Rd","Jacksonville","FL","32277","PK","2","No","667","Duval County","5","13","64","336","193","4","52","50","TRUE","Public File","3","04.20.2023","Merrill Road Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","8239 Merrill Rd","Jacksonville","FL","32277","752","Merrill Road Elementary School","Item Created"
"001VA000004IaTTYA0","1231","751","1.20048E+11","","Duval County Public Schools","Mayport Elementary School","1200480","(904)247-5988","2753 Shangri La Dr","Atlantic Beach","FL","32233","PK","5","No","438","Duval County","0","11","46","91","246","5","39","31","TRUE","Public File","3","04.20.2023","Mayport Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2753 Shangri La Dr","Atlantic Beach","FL","32233","751","Mayport Elementary School","Item Created"
