"ID","DISTRICT ID","FULL DISTRICT NAME","COUNTY NAME","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","PHONE","TOTAL NUMBER OF STUDENTS","TEACHERS - TOTAL","TOTAL CURRENT EXPENDITURES - INSTRUCTION","NUMBER OF SCHOOLS","INSTRUCTIONAL EXPENDITURES PER STUDENT","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","ENGLISH LANGUAGE LEARNER STUDENTS","SOURCE","SORT","DATA SOURCE IMPORT DATE","DATA_SOURCE__C","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","NCES_DISTRICT_ID__C","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","TEMPORARY DISTRICT NAME","STATUS"
"001VA000003njsrYAA","4840920","Southside Independent School District","Bexar County","1460 Martinez Losoya Rd","San Antonio","TX","78221","(210) 882-1600","5654","389","28407000","9","5024","PK","12","1","14","5136","88","395","0","20","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4840920","1460 Martinez Losoya Rd","San Antonio","TX","78221","Southside Independent School District (TX - Bexar County)","Item Created"
"001VA000003njssYAA","4819700","Fort Worth Independent School District","Tarrant County","100 N University Dr","Fort Worth","TX","76107","(817) 815-2000","86234","5069","420617000","149","4877","PK","12","121","1559","53812","19521","9817","84","1320","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4819700","100 N University Dr","Fort Worth","TX","76107","Fort Worth Independent School District (TX - Tarrant County)","Item Created"
"001VA000003njstYAA","1734510","Rockford School District 205","Winnebago County","501 7Th St","Rockford","IL","61104","(815) 966-3101","28145","1627","207914000","51","7387","PK","12","64","1096","7723","8767","8500","14","1981","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1734510","501 7Th St","Rockford","IL","61104","Rockford School District 205 (IL - Winnebago County)","Item Created"
"001VA000003njsuYAA","4834860","Pharr-San Juan-Alamo Independent School District","Hidalgo County","601 E Kelly","Pharr","TX","78577","(956) 354-2000","32680","2134","170862000","49","5228","PK","12","19","41","32373","39","207","0","1","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4834860","601 E Kelly","Pharr","TX","78577","Pharr-San Juan-Alamo Independent School District (TX - Hidalgo County)","Item Created"
"001VA000003njsvYAA","4807890","Allen Independent School District","Collin County","612 E Bethany Rd","Allen","TX","75002","(972) 727-0511","21159","1347","99681000","24","4711","PK","12","118","4121","2835","2615","10389","55","1026","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4807890","612 E Bethany Rd","Allen","TX","75002","Allen Independent School District (TX - Collin County)","Item Created"
"001VA000003njswYAA","2605010","Berkley School District","Oakland County","14700 Lincoln St","Oak Park","MI","48237","(248) 837-8000","4362","263","30582000","8","7011","PK","12","6","68","130","749","3255","3","151","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","2605010","14700 Lincoln St","Oak Park","MI","48237","Berkley School District (MI - Oakland County)","Item Created"
"001VA000003njsxYAA","629580","Palmdale Elementary School District","Los Angeles County","39139 10Th St. E.","Palmdale","CA","93550","(661) 947-7191","22777","765","107129000","30","4703","K","12","120","322","17153","3346","1393","46","397","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","629580","39139 10Th St. E.","Palmdale","CA","93550","Palmdale Elementary School District (CA - Los Angeles County)","Item Created"
"001VA000003njsyYAA","4217010","North Allegheny School District","Allegheny County","200 Hillvue Lane","Pittsburgh","PA","15237","(412) 366-2100","8358","601","72881000","11","8719","K","12","6","1366","31","137","6629","7","182","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4217010","200 Hillvue Lane","Pittsburgh","PA","15237","North Allegheny School District (PA - Allegheny County)","Item Created"
"001VA000003njszYAA","1711850","Decatur School District 61","Macon County","101 W Cerro Gordo St","Decatur","IL","62523","(217) 424-3011","8884","499","39533000","23","4449","PK","12","16","60","352","4054","3328","9","1065","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1711850","101 W Cerro Gordo St","Decatur","IL","62523","Decatur School District 61 (IL - Macon County)","Item Created"
"001VA000003njt0YAA","4837020","Richardson Independent School District","Dallas County","400 S Greenville Ave","Richardson","TX","75081","(469) 593-0000","39314","2982","199707000","58","5079","PK","12","136","2848","14908","8420","11913","51","1038","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4837020","400 S Greenville Ave","Richardson","TX","75081","Richardson Independent School District (TX - Dallas County)","Item Created"
"001VA000003njt1YAA","1743110","Woodland Community Consolidated School District 50","Lake County","1105 N Hunt Club Rd","Gurnee","IL","60031","(847) 596-5601","5584","374","48976000","4","8770","PK","8","28","653","1810","422","2353","6","312","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1743110","1105 N Hunt Club Rd","Gurnee","IL","60031","Woodland Community Consolidated School District 50 (IL - Lake County)","Item Created"
"001VA000003njt2YAA","1727710","Naperville Community Unit School District 203","Dupage County","203 W Hillside Rd","Naperville","IL","60540","(630) 420-6311","16653","1191","160548000","22","9640","PK","12","31","2794","1766","811","10499","13","739","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1727710","203 W Hillside Rd","Naperville","IL","60540","Naperville Community Unit School District 203 (IL - Dupage County)","Item Created"
"001VA000003njt3YAA","4212725","Keystone Central School District","Clinton County","86 Administration Drive","Mill Hall","PA","17751","(570) 893-4900","4004","268","35476000","10","8860","K","12","2","18","90","47","3752","0","95","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4212725","86 Administration Drive","Mill Hall","PA","17751","Keystone Central School District (PA - Clinton County)","Item Created"
"001VA000003njt4YAA","4818180","Edinburg Consolidated Independent School District","Hidalgo County","411 N 8Th St","Edinburg","TX","78541","(956) 289-2300","34156","2271","194350000","45","5690","PK","12","16","210","33194","67","573","3","93","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4818180","411 N 8Th St","Edinburg","TX","78541","Edinburg Consolidated Independent School District (TX - Hidalgo County)","Item Created"
"001VA000003njt5YAA","4822470","Harlandale Independent School District","Bexar County","102 Genevieve St","San Antonio","TX","78214","(210) 989-4300","14381","913","80784000","31","5617","PK","12","4","11","14070","48","233","0","15","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4822470","102 Genevieve St","San Antonio","TX","78214","Harlandale Independent School District (TX - Bexar County)","Item Created"
"001VA000003njt6YAA","803360","Denver Public Schools","Denver County","1860 Lincoln St.","Denver","CO","80203","(720) 423-3200","91822","6140","484136000","201","5272","PK","12","582","2984","50302","11909","22107","296","3642","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","803360","1860 Lincoln St.","Denver","CO","80203","Denver Public Schools (CO - Denver County)","Item Created"
"001VA000003njt7YAA","4825660","Killeen Independent School District","Bell County","200 N W S Young Dr","Killeen","TX","76543","(254) 336-0006","44294","2628","210076000","58","4742","PK","12","251","1103","13366","15465","9933","931","3245","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4825660","200 N W S Young Dr","Killeen","TX","76543","Killeen Independent School District (TX - Bell County)","Item Created"
"001VA000003njt8YAA","4844730","Waxahachie Independent School District","Ellis County","411 N Gibson St","Waxahachie","TX","75165","(972) 923-4631","8517","714","38113000","12","4474","PK","12","55","54","2926","1004","4231","21","226","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4844730","411 N Gibson St","Waxahachie","TX","75165","Waxahachie Independent School District (TX - Ellis County)","Item Created"
"001VA000003njt9YAA","628080","Oakley Union Elementary School District","Contra Costa County","91 Mercedes Ln.","Oakley","CA","94561","(925) 625-0700","5197","215","23952000","8","4608","K","8","28","365","2367","496","1688","24","229","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","628080","91 Mercedes Ln.","Oakley","CA","94561","Oakley Union Elementary School District (CA - Contra Costa County)","Item Created"
"001VA000003njtAYAQ","4815240","Copperas Cove Independent School District","Coryell County","703 W Ave D","Copperas Cove","TX","76522","(254) 547-1227","8173","577","42075000","11","5148","PK","12","39","122","2181","1415","3419","167","830","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4815240","703 W Ave D","Copperas Cove","TX","76522","Copperas Cove Independent School District (TX - Coryell County)","Item Created"
"001VA000003njtBYAQ","4819350","Floresville Independent School District","Wilson County","1200 5Th St","Floresville","TX","78114","(830) 393-5300","4022","245","18879000","6","4693","PK","12","14","19","2591","43","1294","3","58","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4819350","1200 5Th St","Floresville","TX","78114","Floresville Independent School District (TX - Wilson County)","Item Created"
"001VA000003njtCYAQ","601410","Lammersville Joint Unified School District","San Joaquin County","111 S. De Anza Blvd.","Mountain House","CA","95391","(209) 836-7400","4911","295","12237000","6","2491","K","12","31","2141","937","315","1063","26","398","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","601410","111 S. De Anza Blvd.","Mountain House","CA","95391","Lammersville Joint Unified School District (CA - San Joaquin County)","Item Created"
"001VA000003njtDYAQ","4816230","Dallas Independent School District","Dallas County","9400 N Central Expy","Dallas","TX","75231","(972) 925-3700","156832","9873","778942000","244","4966","PK","12","491","2139","109228","35340","8402","96","1136","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4816230","9400 N Central Expy","Dallas","TX","75231","Dallas Independent School District (TX - Dallas County)","Item Created"
"001VA000003njtEYAQ","4838970","San Marcos Consolidated Independent School District","Hays County","631 Mill Street","San Marcos","TX","78666","(512) 393-6700","8182","571","39721000","11","4854","PK","12","7","74","5882","374","1748","7","90","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4838970","631 Mill Street","San Marcos","TX","78666","San Marcos Consolidated Independent School District (TX - Hays County)","Item Created"
"001VA000003njtFYAQ","803060","Colorado Springs School District No. 11","El Paso County","1115 North El Paso Street","Colorado Springs","CO","80903","(719) 520-2000","27427","1462","143790000","57","5242","PK","12","196","437","8526","2086","14045","100","2037","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","803060","1115 North El Paso Street","Colorado Springs","CO","80903","Colorado Springs School District No. 11 (CO - El Paso County)","Item Created"
"001VA000003njtGYAQ","1802490","Crown Point Community School Corporation","Lake County","200 E North St","Crown Point","IN","46307","(219) 663-3371","8501","450","37233000","10","4379","PK","12","22","211","1136","213","6670","4","245","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1802490","200 E North St","Crown Point","IN","46307","Crown Point Community School Corporation (IN - Lake County)","Item Created"
"001VA000003njtHYAQ","602610","Anaheim Elementary School District","Orange County","1001 S. E. St.","Anaheim","CA","92805","(714) 517-7500","17911","683","99228000","25","5540","K","6","16","1034","15360","246","843","68","344","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","602610","1001 S. E. St.","Anaheim","CA","92805","Anaheim Elementary School District (CA - Orange County)","Item Created"
"001VA000003njtIYAQ","4210070","Fox Chapel Area School District","Allegheny County","611 Field Club Rd","Pittsburgh","PA","15238","(412) 963-9600","4007","320","48425000","6","12085","K","12","5","331","139","153","3278","0","101","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4210070","611 Field Club Rd","Pittsburgh","PA","15238","Fox Chapel Area School District (PA - Allegheny County)","Item Created"
"001VA000003njtJYAQ","691031","San Joaquin County Office Of Education","San Joaquin County","2901 Arch-Airport Rd.","Stockton","CA","95206","(209) 468-4800","4576","131","48225000","6","10538","K","12","28","435","2509","499","829","30","246","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","691031","2901 Arch-Airport Rd.","Stockton","CA","95206","San Joaquin County Office Of Education (CA - San Joaquin County)","Item Created"
"001VA000003njtKYAQ","638220","Sulphur Springs Union School District","Los Angeles County","27000 Weyerhaeuser Way","Canyon Country","CA","91351","(661) 252-5131","5395","204","30927000","9","5732","K","6","9","507","2972","307","1354","8","238","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","638220","27000 Weyerhaeuser Way","Canyon Country","CA","91351","Sulphur Springs Union School District (CA - Los Angeles County)","Item Created"
"001VA000003njtLYAQ","1808760","Penn-Harris-Madison School Corporation","St. Joseph County","55900 Bittersweet Rd","Mishawaka","IN","46545","(574) 259-7941","11434","594","45602000","15","3988","PK","12","55","660","714","755","8671","18","561","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1808760","55900 Bittersweet Rd","Mishawaka","IN","46545","Penn-Harris-Madison School Corporation (IN - St. Joseph County)","Item Created"
"001VA000003njtMYAQ","4218990","School District Of Philadelphia","Philadelphia County","440 North Broad St","Philadelphia","PA","19130","(215) 400-4000","131238","7968","835752000","218","6368","PK","12","267","10901","26282","65211","18997","87","9493","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4218990","440 North Broad St","Philadelphia","PA","19130","School District Of Philadelphia (PA - Philadelphia County)","Item Created"
"001VA000003njtNYAQ","4217940","Norwin School District","Westmoreland County","281 Mcmahon Dr","North Huntingdon","PA","15642","(724) 861-3000","5304","323","32679000","7","6161","K","12","6","87","66","48","4959","0","138","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4217940","281 Mcmahon Dr","North Huntingdon","PA","15642","Norwin School District (PA - Westmoreland County)","Item Created"
"001VA000003njtOYAQ","4225830","West Shore School District","York County","507 Fishing Creek Rd","Lewisberry","PA","17339","(717) 938-9577","7728","523","51260000","14","6633","K","12","8","143","673","314","6296","11","283","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4225830","507 Fishing Creek Rd","Lewisberry","PA","17339","West Shore School District (PA - York County)","Item Created"
"001VA000003njtPYAQ","5302670","Everett Public Schools","Snohomish County","3900 Broadway","Everett","WA","98201","(425) 385-4000","20447","1015","121232000","34","5929","PK","12","98","2919","3887","841","10898","266","1538","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5302670","3900 Broadway","Everett","WA","98201","Everett Public Schools (WA - Snohomish County)","Item Created"
"001VA000003njtQYAQ","4828740","Magnolia Independent School District","Montgomery County","31141 Nichols Sawmill Rd","Magnolia","TX","77355","(281) 356-3571","12993","900","58232000","17","4481","PK","12","72","129","4422","299","7800","8","263","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4828740","31141 Nichols Sawmill Rd","Magnolia","TX","77355","Magnolia Independent School District (TX - Montgomery County)","Item Created"
"001VA000003njtRYAQ","1704170","Township High School District 214","Cook County","2121 S Goebbert Rd","Arlington Heights","IL","60005","(847) 718-7600","11952","742","151215000","11","12651","9","12","11","962","3895","243","6501","18","322","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1704170","2121 S Goebbert Rd","Arlington Heights","IL","60005","Township High School District 214 (IL - Cook County)","Item Created"
"001VA000003njtSYAQ","4836660","Red Oak Independent School District","Ellis County","109 W Red Oak Rd","Red Oak","TX","75154","(972) 617-2941","5810","395","25966000","9","4469","PK","12","33","46","2080","1301","2210","4","136","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4836660","109 W Red Oak Rd","Red Oak","TX","75154","Red Oak Independent School District (TX - Ellis County)","Item Created"
"001VA000003njtTYAQ","3411160","Neptune Township School District","Monmouth County","60 Neptune Blvd","Neptune Twp","NJ","7753","(732) 776-2200","4081","355","41909000","8","10269","PK","12","3","87","995","1913","814","2","267","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","3411160","60 Neptune Blvd","Neptune Twp","NJ","7753","Neptune Township School District (NJ - Monmouth County)","Item Created"
"001VA000003njtUYAQ","3407680","Irvington Public Schools","Essex County","1 University Place","Irvington","NJ","7111","(973) 399-6800","7781","527","71602000","12","9202","PK","12","6","37","1382","6271","45","21","19","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","3407680","1 University Place","Irvington","NJ","7111","Irvington Public Schools (NJ - Essex County)","Item Created"
"001VA000003o0fpYAA","4818060","Edcouch-Elsa Independent School District","Hidalgo County","920 W Santa Rosa Ave","Edcouch","TX","78538","(956) 262-6000","5184","303","29463000","10","5683","PK","12","0","1","5156","4","23","0","0","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4818060","920 W Santa Rosa Ave","Edcouch","TX","78538","Edcouch-Elsa Independent School District (TX - Hidalgo County)","Item Created"
"001VA000003o0fqYAA","4211580","Harrisburg School District","Dauphin County","1601 State Street","Harrisburg","PA","17110","(717) 703-4000","6528","477","48507000","11","7430","K","12","5","247","2250","3639","230","2","155","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4211580","1601 State Street","Harrisburg","PA","17110","Harrisburg School District (PA - Dauphin County)","Item Created"
"001VA000003o0frYAA","805400","Thompson School District","Larimer County","800 South Taft Avenue","Loveland","CO","80537","(970) 613-5000","16278","923","76751000","34","4715","PK","12","78","182","3360","197","11919","23","519","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","805400","800 South Taft Avenue","Loveland","CO","80537","Thompson School District (CO - Larimer County)","Item Created"
"001VA000003o0fsYAA","637530","South San Francisco Unified School District","San Mateo County","398 B St.","South San Francisco","CA","94080","(650) 877-8700","8707","405","41408000","17","4755","K","12","16","3143","4168","123","554","189","514","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","637530","398 B St.","South San Francisco","CA","94080","South San Francisco Unified School District (CA - San Mateo County)","Item Created"
"001VA000003o0ftYAA","803480","Durango School District No. 9-R","La Plata County","201 East 12Th Street","Durango","CO","81301","(970) 247-5411","5251","371","25103000","13","4780","PK","12","233","43","1024","60","3684","4","203","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","803480","201 East 12Th Street","Durango","CO","81301","Durango School District No. 9-R (CO - La Plata County)","Item Created"
"001VA000003o0fuYAA","4821420","Grand Prairie Independent School District","Dallas County","2602 S Belt Line Rd","Grand Prairie","TX","75052","(972) 264-6141","29362","1871","138290000","44","4709","PK","12","119","932","19037","5294","3398","42","540","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4821420","2602 S Belt Line Rd","Grand Prairie","TX","75052","Grand Prairie Independent School District (TX - Dallas County)","Item Created"
"001VA000003o0fvYAA","5310110","Yakima School District","Yakima County","104 N 4Th Ave","Yakima","WA","98902","(509) 573-7000","16348","882","97344000","29","5954","PK","12","141","62","12871","119","2751","13","391","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5310110","104 N 4Th Ave","Yakima","WA","98902","Yakima School District (WA - Yakima County)","Item Created"
"001VA000003o0fwYAA","4822530","Harlingen Consolidated Independent School District","Cameron County","407 N 77 Sunshine Strip","Harlingen","TX","78550","(956) 430-9503","18429","1199","96744000","33","5249","PK","12","15","80","17197","82","1001","13","41","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4822530","407 N 77 Sunshine Strip","Harlingen","TX","78550","Harlingen Consolidated Independent School District (TX - Cameron County)","Item Created"
"001VA000003o0fxYAA","5306180","Olympia School District","Thurston County","1113 Legion Way Se","Olympia","WA","98501","(360) 596-6177","9755","532","54862000","21","5623","K","12","57","731","1126","237","6572","29","1003","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5306180","1113 Legion Way Se","Olympia","WA","98501","Olympia School District (WA - Thurston County)","Item Created"
"001VA000003o0fyYAA","5303750","Issaquah School District 411","King County","565 Nw Holly St","Issaquah","WA","98027","(425) 837-7000","20930","1005","107220000","27","5122","PK","12","28","6073","1749","389","11067","51","1573","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5303750","565 Nw Holly St","Issaquah","WA","98027","Issaquah School District 411 (WA - King County)","Item Created"
"001VA000003o0fzYAA","4846680","Ysleta Independent School District","El Paso County","9600 Sims Dr","El Paso","TX","79925","(915) 434-0000","41204","2546","239517000","67","5812","PK","12","79","115","38791","551","1457","35","176","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4846680","9600 Sims Dr","El Paso","TX","79925","Ysleta Independent School District (TX - El Paso County)","Item Created"
"001VA000003o0g0YAA","5309660","Wenatchee School District","Chelan County","235 Sunset Ave","Wenatchee","WA","98801","(509) 663-8161","7752","433","46473000","18","5994","PK","12","23","67","3950","37","3494","6","175","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5309660","235 Sunset Ave","Wenatchee","WA","98801","Wenatchee School District (WA - Chelan County)","Item Created"
